timestamp, Sun Apr 22 23:46:59 2001 PT
Yahoo! Sports http://sports.yahoo.com, The data is for personal use only and any reproduction or distribution for commercial purposes is expressly prohibited.
ID,TEAM,NAME,FULLNAME,STATUS,POS,AVG,BAT,HIT,DOUBLE,TRIPLE,HOMER,WALK,STEAL,HAND,CAUGHT,SAC_HIT,SAC_FLY,ERROR,RUN,RBI,PASSED,SO,GAMES,SLUGGING,HIT_BY,ON_BASE,ERA,WIN,LOSS,SAVE,INNING,H,BB,K,HR,R,ER,HIT_BAT,WP,BALK,WINNING,START,COMPLETE,SHUTOUT
3282,DET,D Patterson,Danny Patterson,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,6,3,2,1,0,0,0,1,1,0,1000,0,0,0
3284,TEX,Rogers,Kenny Rogers,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,5.47,1,1,0,26.1,33,6,16,6,16,16,1,1,0,500,4,0,0
3307,TEX,Crabtree,Tim Crabtree,I,RP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,5,0,0,0,5.79,0,0,4,4.2,8,2,1,0,3,3,1,1,0,0,0,0,0
3312,BAL,Hentgen,Pat Hentgen,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,2.59,0,2,0,31.1,19,5,21,3,9,9,0,1,0,0,4,1,0
3315,NYM,A Leiter,Al Leiter,A,SP,0,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,5,4,0,0,0,5.87,0,3,0,23,28,1,22,3,15,15,2,1,0,0,4,0,0
3317,PIT,Jo Silva,Jose Silva,A,RP,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,8,0,0,0,6.07,1,1,0,11.1,16,1,12,3,9,8,0,0,0,500,0,0,0
3320,STL,Timlin,Mike Timlin,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,2.16,1,0,1,7.1,11,3,2,0,2,2,1,1,0,1000,0,0,0
3323,SDG,W Williams,Woody Williams,A,SP,111,9,1,1,0,0,0,0,,0,0,1,0,1,1,0,3,5,222,0,100,5.47,1,2,0,24.2,32,12,20,6,19,15,1,0,0,333,4,0,0
3324,BOS,Cone,David Cone,I,SP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3358,TOR,Pe Borbon,Pedro Borbon,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,1.35,0,0,0,3.1,1,0,3,0,1,1,1,0,0,0,0,0,0
3359,PHI,C Brock,Chris Brock,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,0,1.86,1,0,0,9.2,6,5,7,1,2,2,0,0,0,1000,0,0,0
3362,ATL,Glavine,Tom Glavine,A,SP,0,5,0,0,0,0,0,0,,0,4,0,0,0,0,0,2,4,0,0,0,3.46,2,1,0,26,17,17,17,4,10,10,0,0,0,667,4,0,0
3363,ATL,G Maddux,Greg Maddux,A,SP,143,7,1,0,0,0,0,0,,0,3,0,0,0,0,0,4,3,143,0,143,0.67,2,1,0,20,16,0,15,1,5,0,1,0,0,667,3,0,0
3371,NYY,Stanton,Mike Stanton,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,9,7,1,6,0,0,0,0,0,0,1000,0,0,0
3373,CIN,Wohlers,Mark Wohlers,A,RP,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,6,0,0,0,4.5,0,0,0,6.2,6,3,5,1,4,4,0,1,0,0,0,0,0
3398,BOS,F Castillo,Frank Castillo,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,3.6,1,1,0,15,19,4,7,1,8,5,0,1,0,667,3,0,0
3403,ARI,M Morgan,Mike Morgan,I,RP,0,0,0,0,0,0,1,0,R,0,0,0,0,0,0,0,0,4,0,0,1000,8.31,0,0,0,8.2,15,1,2,1,8,8,0,1,0,0,1,0,0
3407,TAM,Sturtze,Tanyon Sturtze,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,7.94,0,2,0,8.2,14,3,8,2,10,9,1,3,0,0,0,0,0
